"civilian","cvlyn","lesson 28"
"claimant","clamn","lesson 70 (complete text)"
"clarity","clr","lesson 14"
"clean","cln","lesson 8"
"cleaned","clnd","lesson 27"
"cleaning","clng","lesson 24"
"click","clk","lesson 2 (complete text)"
"climate","climt","lesson 12"
"clinical","clncl","lesson 70 (complete text)"
"cloister","clystr","lesson 69 (complete text)"
"close","clos","lesson 1, rule 1 (never write a silent vowel)"
"cloth","clt","lesson 24"
"clothes","clots","lesson 3"
"clothing","clotg","lesson 8"
"cloths","clts","lesson 24"
"clue","clo","lesson 6"
"coal","col","lesson 56 (complete text)"
"coat","cot","lesson 9"
"coaxial","coxl","lesson 67 (complete text)"
"cobalt","coblt","lesson 52 (complete text)"
"cockpit","ckpt","lesson 49 (complete text)"
"code","cod","lesson 6"
"coffee","cfe","lesson 61 (complete text)"
"coil","cyl","lesson 59 (complete text)"
"collating","colatg","lesson 66 (complete text)"
"collect","clk","lesson 27"
"collegiate","clgt","lesson 58 (complete text)"
"colloidal","colydl","lesson 53 (complete text)"
"colonial","clonl","lesson 17"
"colonists","clonsts","lesson 17"
"comb","com","lesson 61 (complete text)"
"combine","cbin","lesson 5, common word beginnings and endings"
"come","c","lesson 3, briefs c=can, come, copy credit"
"comforts","cfts","lesson 18"
"coming","cg","lesson 8"
"commandments","cmdms","lesson 69 (complete text)"
"commerce","cmrc","lesson 22"
"commercial","cmrsl","lesson 9"
"commission","cms","lesson 9"
"committee","cmte","lesson 4"
"commodities","cmdts","lesson 70 (complete text)"
"common","cm","lesson 8"
"commonly","cml","lesson 24"
"communications","cmuncass","lesson 8"
"communities","cmunts","lesson 8"
"community","cmunt","lesson 14"
"commutator","cmutatr","lesson 59 (complete text)"
"compare","cpr","lesson 2, phonetic abbreviations"
"compared","cprd","lesson 16"
"comparison","cprsn","lesson 29"
"compete","cpt","lesson 2 (complete text)"
"complaints","cplans","lesson 15"
"complete","cplt","lesson 29"
"completed","cpltd","lesson 4"
"completely","cpltl","lesson 25"
"completing","cpltg","lesson 3"
"compliment","cplm","lesson 5, common word beginnings and endings"
"components","cpons","lesson 63 (complete text)"
"compose","cpos","lesson 5, common word beginnings and endings"
"composition","cposs","lesson 5, common word beginnings and endings"
"compulsive","cplsv","lesson 65 (complete text)"
"conceived","ccvd","lesson 30"
"concentrate","ccntrat","lesson 6"
"concern","ccrn","lesson 3 (complete text)"
"concerned","ccrnd","lesson 10"
"concerning","ccrng","lesson 8"
"concluding","cclodg","lesson 4"
"conclusion","cclus","lesson 9"
"condemned","cdmd","lesson 22"
"condensation","cdnsas","lesson 4"
"conditions","cdss","lesson 9"
"cone","con","lesson 6"
"confess","cfs","lesson 11"
"congested","cgstd","lesson 7"
"congratulate","cgrtulat","lesson 10"
"congratulation","cgrtulas","lesson 5, common word beginnings and endings"
"congregation","cgrgas","lesson 69 (complete text)"
"conscientious","csnss","lesson 8"
"consecrate","cscrat","lesson 30"
"consecrated","cscratd","lesson 30"
"conservation","csrvas","lesson 48 (complete text)"
"consider","csdr","lesson 18"
"considerable","csdrb","lesson 3"
"consideration","csdras","lesson 29"
"considered","csdrd","lesson 21"
"consignee","csine","lesson 70 (complete text)"
"consistently","cstnl","lesson 16"
"construction","cstrcs","lesson 51 (complete text)"
"consult","cslt","lesson 29"
"consume","csum","lesson 5, common word beginnings and endings"
